180,-0.058172043,130,131
180,NaN,NaN,85
180,NaN,NaN,55
180,NaN,NaN,40
180,NaN,NaN,13.4
180,NaN,NaN,5.88
180,NaN,NaN,0
192,-0.097560976,130,131
192,-0.045,80,85
192,NaN,NaN,55
192,NaN,NaN,40
192,NaN,NaN,13.4
192,NaN,NaN,5.88
192,NaN,NaN,0
204,-0.084640244,130,131
204,-0.07,80,85
204,NaN,NaN,55
204,NaN,NaN,40
204,NaN,NaN,13.4
204,NaN,NaN,5.88
204,NaN,NaN,0
216,-0.121875,130,131
216,-0.11,80,85
216,-0.02,40,55
216,NaN,NaN,30
216,NaN,NaN,13.4
216,NaN,NaN,5.88
216,NaN,NaN,0
228,-0.144156863,130,131
228,-0.12,80,85
228,-0.05,40,55
228,NaN,NaN,30
228,NaN,NaN,13.4
228,NaN,NaN,5.88
228,NaN,NaN,0
240,-0.167231863,130,131
240,-0.13,80,85
240,-0.1,40,55
240,NaN,NaN,30
240,NaN,NaN,13.4
240,NaN,NaN,5.88
240,NaN,NaN,0
252,-0.212501613,130,131
252,-0.147885321,80,85
252,-0.148347826,40,55
252,-0.08,52,30
252,-0.03,30,13.4
252,-0.049275,18,5.88
252,0,0,0
264,-0.238948454,130,131
264,-0.19119403,80,85
264,-0.12231746,40,55
264,-0.08,52,30
264,-0.06,32,13.4
264,NaN,NaN,5.88
264,0,0,0
276,-0.25,142,131
276,-0.24,80,85
276,-0.159237805,40,55
276,-0.09,72,30
276,-0.05,34,13.4
276,-0.048213115,20,5.88
276,0,0,0
288,-0.29,140,131
288,-0.27,60,85
288,-0.1672,40,55
288,-0.11,64,30
288,-0.05,34,13.4
288,-0.023494444,20,5.88
288,0,0,0
300,-0.324733333,152,131
300,-0.29,80,85
300,-0.22,40,55
300,-0.16,20,30
300,-0.067169811,36,13.4
300,NaN,NaN,5.88
300,0,0,0
312,-0.367843103,152,131
312,-0.33,80,85
312,-0.267336364,40,55
312,-0.2,19,30
312,-0.09412,NaN,13.4
312,-0.065876,NaN,5.88
312,0,0,0
324,-0.392153448,152,131
324,-0.36,80,85
324,-0.293265306,40,55
324,-0.24,20,30
324,-0.105866667,NaN,13.4
324,-0.064181818,NaN,5.88
324,0,0,0
336,-0.44,151,131
336,-0.39,75,85
336,-0.33,40,55
336,-0.28,20,30
336,-0.13,26,13.4
336,-0.1029375,24,5.88
336,0,0,0
348,-0.480287671,154,131
348,-0.42,60,85
348,-0.38,40,55
348,-0.32,20,30
348,-0.15,28,13.4
348,-0.098615385,24,5.88
348,0,0,0
360,-0.53,148,131
360,-0.5,60,85
360,-0.44,40,55
360,-0.42,26,30
360,-0.17,30,13.4
360,-0.1098,20,5.88
360,0,0,0
